Funcion objetivo: 865.0 (time limit exceeded)

Variables x_ != 0:
  x_41_0 = 1.0
  x_0_100 = 1.0
  x_9_15 = 1.0
  x_39_9 = 1.0
  x_16_10 = 1.0
  x_10_18 = 1.0
  x_18_12 = 1.0
  x_12_20 = 1.0
  x_15_23 = 1.0
  x_23_16 = 1.0
  x_20_26 = 1.0
  x_26_34 = 1.0
  x_34_40 = 1.0
  x_43_36 = 1.0
  x_36_44 = 1.0
  x_44_37 = 1.0
  x_37_45 = 1.0
  x_100_39 = 1.0
  x_40_48 = 1.0
  x_47_41 = 1.0
  x_51_43 = 1.0
  x_45_53 = 1.0
  x_53_47 = 1.0
  x_48_54 = 1.0
  x_57_51 = 1.0
  x_54_59 = 1.0
  x_64_57 = 1.0
  x_59_74 = 1.0
  x_72_64 = 1.0
  x_79_72 = 1.0
  x_74_82 = 1.0
  x_75_81 = 1.0
  x_83_75 = 1.0
  x_85_79 = 1.0
  x_81_87 = 1.0
  x_82_89 = 1.0
  x_89_83 = 1.0
  x_91_85 = 1.0
  x_87_93 = 1.0
  x_99_91 = 1.0
  x_93_99 = 1.0

Variables y_ != 0:
  y_1_9 = 1.0
  y_2_9 = 1.0
  y_3_10 = 1.0
  y_4_12 = 1.0
  y_5_12 = 1.0
  y_6_12 = 1.0
  y_7_15 = 1.0
  y_8_9 = 1.0
  y_11_12 = 1.0
  y_13_12 = 1.0
  y_14_15 = 1.0
  y_17_10 = 1.0
  y_19_12 = 1.0
  y_21_15 = 1.0
  y_22_16 = 1.0
  y_24_18 = 1.0
  y_25_18 = 1.0
  y_27_34 = 1.0
  y_28_36 = 1.0
  y_29_37 = 1.0
  y_30_37 = 1.0
  y_31_37 = 1.0
  y_32_40 = 1.0
  y_33_40 = 1.0
  y_35_43 = 1.0
  y_38_37 = 1.0
  y_42_43 = 1.0
  y_46_40 = 1.0
  y_49_43 = 1.0
  y_50_43 = 1.0
  y_52_45 = 1.0
  y_55_54 = 1.0
  y_56_64 = 1.0
