Funcion objetivo: 99.0 (integer optimal solution)

Variables x_ != 0:
  x_19_0 = 1.0
  x_0_70 = 1.0
  x_1_2 = 1.0
  x_12_1 = 1.0
  x_2_3 = 1.0
  x_3_14 = 1.0
  x_5_4 = 1.0
  x_4_13 = 1.0
  x_15_5 = 1.0
  x_6_7 = 1.0
  x_16_6 = 1.0
  x_7_17 = 1.0
  x_8_9 = 1.0
  x_18_8 = 1.0
  x_9_19 = 1.0
  x_11_10 = 1.0
  x_10_21 = 1.0
  x_20_11 = 1.0
  x_22_12 = 1.0
  x_13_22 = 1.0
  x_14_25 = 1.0
  x_24_15 = 1.0
  x_27_16 = 1.0
  x_17_28 = 1.0
  x_28_18 = 1.0
  x_30_20 = 1.0
  x_21_31 = 1.0
  x_33_23 = 1.0
  x_23_34 = 1.0
  x_35_24 = 1.0
  x_25_26 = 1.0
  x_26_27 = 1.0
  x_38_29 = 1.0
  x_29_39 = 1.0
  x_40_30 = 1.0
  x_31_41 = 1.0
  x_41_32 = 1.0
  x_32_43 = 1.0
  x_44_33 = 1.0
  x_34_35 = 1.0
  x_46_36 = 1.0
  x_36_47 = 1.0
  x_37_38 = 1.0
  x_47_37 = 1.0
  x_39_48 = 1.0
  x_50_40 = 1.0
  x_42_51 = 1.0
  x_52_42 = 1.0
  x_43_53 = 1.0
  x_53_44 = 1.0
  x_45_46 = 1.0
  x_56_45 = 1.0
  x_48_49 = 1.0
  x_49_58 = 1.0
  x_51_50 = 1.0
  x_62_52 = 1.0
  x_55_54 = 1.0
  x_54_64 = 1.0
  x_65_55 = 1.0
  x_57_56 = 1.0
  x_66_57 = 1.0
  x_58_59 = 1.0
  x_59_68 = 1.0
  x_61_60 = 1.0
  x_60_71 = 1.0
  x_70_61 = 1.0
  x_63_62 = 1.0
  x_64_63 = 1.0
  x_74_65 = 1.0
  x_77_66 = 1.0
  x_76_67 = 1.0
  x_67_77 = 1.0
  x_68_69 = 1.0
  x_69_79 = 1.0
  x_71_80 = 1.0
  x_72_73 = 1.0
  x_83_72 = 1.0
  x_73_74 = 1.0
  x_84_75 = 1.0
  x_75_86 = 1.0
  x_87_76 = 1.0
  x_79_78 = 1.0
  x_78_89 = 1.0
  x_80_91 = 1.0
  x_90_81 = 1.0
  x_81_92 = 1.0
  x_92_82 = 1.0
  x_82_93 = 1.0
  x_94_83 = 1.0
  x_93_84 = 1.0
  x_85_95 = 1.0
  x_96_85 = 1.0
  x_86_87 = 1.0
  x_89_88 = 1.0
  x_88_99 = 1.0
  x_100_90 = 1.0
  x_91_100 = 1.0
  x_95_94 = 1.0
  x_97_96 = 1.0
  x_98_97 = 1.0
  x_99_98 = 1.0

Variables y_ != 0:

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 85.0
  u_2 = 86.0
  u_3 = 87.0
  u_4 = 81.0
  u_5 = 80.0
  u_6 = 93.0
  u_7 = 94.0
  u_8 = 98.0
  u_9 = 99.0
  u_10 = 66.0
  u_11 = 65.0
  u_12 = 84.0
  u_13 = 82.0
  u_14 = 88.0
  u_15 = 79.0
  u_16 = 92.0
  u_17 = 95.0
  u_18 = 97.0
  u_19 = 100.0
  u_20 = 64.0
  u_21 = 67.0
  u_22 = 83.0
  u_23 = 75.0
  u_24 = 78.0
  u_25 = 89.0
  u_26 = 90.0
  u_27 = 91.0
  u_28 = 96.0
  u_29 = 29.0
  u_30 = 63.0
  u_31 = 68.0
  u_32 = 70.0
  u_33 = 74.0
  u_34 = 76.0
  u_35 = 77.0
  u_36 = 25.0
  u_37 = 27.0
  u_38 = 28.0
  u_39 = 30.0
  u_40 = 62.0
  u_41 = 69.0
  u_42 = 59.0
  u_43 = 71.0
  u_44 = 73.0
  u_45 = 23.0
  u_46 = 24.0
  u_47 = 26.0
  u_48 = 31.0
  u_49 = 32.0
  u_50 = 61.0
  u_51 = 60.0
  u_52 = 58.0
  u_53 = 72.0
  u_54 = 54.0
  u_55 = 53.0
  u_56 = 22.0
  u_57 = 21.0
  u_58 = 33.0
  u_59 = 34.0
  u_60 = 3.0
  u_61 = 2.0
  u_62 = 57.0
  u_63 = 56.0
  u_64 = 55.0
  u_65 = 52.0
  u_66 = 20.0
  u_67 = 18.0
  u_68 = 35.0
  u_69 = 36.0
  u_70 = 1.0
  u_71 = 4.0
  u_72 = 49.0
  u_73 = 50.0
  u_74 = 51.0
  u_75 = 14.0
  u_76 = 17.0
  u_77 = 19.0
  u_78 = 38.0
  u_79 = 37.0
  u_80 = 5.0
  u_81 = 9.0
  u_82 = 11.0
  u_83 = 48.0
  u_84 = 13.0
  u_85 = 45.0
  u_86 = 15.0
  u_87 = 16.0
  u_88 = 40.0
  u_89 = 39.0
  u_90 = 8.0
  u_91 = 6.0
  u_92 = 10.0
  u_93 = 12.0
  u_94 = 47.0
  u_95 = 46.0
  u_96 = 44.0
  u_97 = 43.0
  u_98 = 42.0
  u_99 = 41.0
  u_100 = 7.0
  p_0 = 1.0
  p_1 = 1.0
  p_2 = 1.0
  p_3 = 1.0
  p_4 = 1.0
  p_5 = 1.0
  p_6 = 1.0
  p_7 = 1.0
  p_8 = 1.0
  p_9 = 1.0
  p_10 = 1.0
  p_11 = 1.0
  p_12 = 1.0
  p_13 = 1.0
  p_14 = 1.0
  p_15 = 1.0
  p_16 = 1.0
  p_17 = 1.0
  p_18 = 1.0
  p_19 = 1.0
  p_20 = 1.0
  p_21 = 1.0
  p_22 = 1.0
  p_23 = 1.0
  p_24 = 1.0
  p_25 = 1.0
  p_26 = 1.0
  p_27 = 1.0
  p_28 = 1.0
  p_29 = 1.0
  p_30 = 1.0
  p_31 = 1.0
  p_32 = 1.0
  p_33 = 1.0
  p_34 = 1.0
  p_35 = 1.0
  p_36 = 1.0
  p_37 = 1.0
  p_38 = 1.0
  p_39 = 1.0
  p_40 = 1.0
  p_41 = 1.0
  p_42 = 1.0
  p_43 = 1.0
  p_44 = 1.0
  p_45 = 1.0
  p_46 = 1.0
  p_47 = 1.0
  p_48 = 1.0
  p_49 = 1.0
  p_50 = 1.0
  p_51 = 1.0
  p_52 = 1.0
  p_53 = 1.0
  p_54 = 1.0
  p_55 = 1.0
  p_56 = 1.0
  p_57 = 1.0
  p_58 = 1.0
  p_59 = 1.0
  p_60 = 1.0
  p_61 = 1.0
  p_62 = 1.0
  p_63 = 1.0
  p_64 = 1.0
  p_65 = 1.0
  p_66 = 1.0
  p_67 = 1.0
  p_68 = 1.0
  p_69 = 1.0
  p_70 = 1.0
  p_71 = 1.0
  p_72 = 1.0
  p_73 = 1.0
  p_74 = 1.0
  p_75 = 1.0
  p_76 = 1.0
  p_77 = 1.0
  p_78 = 1.0
  p_79 = 1.0
  p_80 = 1.0
  p_81 = 1.0
  p_82 = 1.0
  p_83 = 1.0
  p_84 = 1.0
  p_85 = 1.0
  p_86 = 1.0
  p_87 = 1.0
  p_88 = 1.0
  p_89 = 1.0
  p_90 = 1.0
  p_91 = 1.0
  p_92 = 1.0
  p_93 = 1.0
  p_94 = 1.0
  p_95 = 1.0
  p_96 = 1.0
  p_97 = 1.0
  p_98 = 1.0
  p_99 = 1.0
  p_100 = 1.0
