Funcion objetivo: 99.0 (integer optimal solution)

Variables x_ != 0:
  x_0_9 = 1.0
  x_64_0 = 1.0
  x_10_1 = 1.0
  x_1_11 = 1.0
  x_11_2 = 1.0
  x_2_13 = 1.0
  x_3_4 = 1.0
  x_12_3 = 1.0
  x_4_5 = 1.0
  x_5_6 = 1.0
  x_6_15 = 1.0
  x_7_17 = 1.0
  x_18_7 = 1.0
  x_9_8 = 1.0
  x_8_19 = 1.0
  x_20_10 = 1.0
  x_22_12 = 1.0
  x_13_22 = 1.0
  x_14_23 = 1.0
  x_24_14 = 1.0
  x_15_26 = 1.0
  x_16_25 = 1.0
  x_26_16 = 1.0
  x_17_27 = 1.0
  x_28_18 = 1.0
  x_19_29 = 1.0
  x_21_20 = 1.0
  x_32_21 = 1.0
  x_23_33 = 1.0
  x_25_24 = 1.0
  x_27_36 = 1.0
  x_29_28 = 1.0
  x_31_30 = 1.0
  x_30_40 = 1.0
  x_42_31 = 1.0
  x_41_32 = 1.0
  x_33_34 = 1.0
  x_34_45 = 1.0
  x_35_44 = 1.0
  x_45_35 = 1.0
  x_36_37 = 1.0
  x_37_46 = 1.0
  x_38_39 = 1.0
  x_48_38 = 1.0
  x_39_49 = 1.0
  x_40_50 = 1.0
  x_51_41 = 1.0
  x_43_42 = 1.0
  x_54_43 = 1.0
  x_44_53 = 1.0
  x_46_47 = 1.0
  x_47_57 = 1.0
  x_57_48 = 1.0
  x_49_59 = 1.0
  x_50_60 = 1.0
  x_61_51 = 1.0
  x_53_52 = 1.0
  x_52_63 = 1.0
  x_63_54 = 1.0
  x_56_55 = 1.0
  x_55_64 = 1.0
  x_67_56 = 1.0
  x_58_68 = 1.0
  x_69_58 = 1.0
  x_59_69 = 1.0
  x_60_71 = 1.0
  x_72_61 = 1.0
  x_71_62 = 1.0
  x_62_73 = 1.0
  x_74_65 = 1.0
  x_65_76 = 1.0
  x_66_67 = 1.0
  x_75_66 = 1.0
  x_68_79 = 1.0
  x_80_70 = 1.0
  x_70_81 = 1.0
  x_81_72 = 1.0
  x_73_84 = 1.0
  x_83_74 = 1.0
  x_85_75 = 1.0
  x_76_85 = 1.0
  x_77_86 = 1.0
  x_87_77 = 1.0
  x_78_88 = 1.0
  x_89_78 = 1.0
  x_79_89 = 1.0
  x_90_80 = 1.0
  x_82_91 = 1.0
  x_92_82 = 1.0
  x_84_83 = 1.0
  x_86_96 = 1.0
  x_97_87 = 1.0
  x_88_99 = 1.0
  x_100_90 = 1.0
  x_91_100 = 1.0
  x_93_92 = 1.0
  x_94_93 = 1.0
  x_95_94 = 1.0
  x_96_95 = 1.0
  x_98_97 = 1.0
  x_99_98 = 1.0

Variables y_ != 0:

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 53.0
  u_2 = 55.0
  u_3 = 59.0
  u_4 = 60.0
  u_5 = 61.0
  u_6 = 62.0
  u_7 = 7.0
  u_8 = 2.0
  u_9 = 1.0
  u_10 = 52.0
  u_11 = 54.0
  u_12 = 58.0
  u_13 = 56.0
  u_14 = 68.0
  u_15 = 63.0
  u_16 = 65.0
  u_17 = 8.0
  u_18 = 6.0
  u_19 = 3.0
  u_20 = 51.0
  u_21 = 50.0
  u_22 = 57.0
  u_23 = 69.0
  u_24 = 67.0
  u_25 = 66.0
  u_26 = 64.0
  u_27 = 9.0
  u_28 = 5.0
  u_29 = 4.0
  u_30 = 82.0
  u_31 = 81.0
  u_32 = 49.0
  u_33 = 70.0
  u_34 = 71.0
  u_35 = 73.0
  u_36 = 10.0
  u_37 = 11.0
  u_38 = 16.0
  u_39 = 17.0
  u_40 = 83.0
  u_41 = 48.0
  u_42 = 80.0
  u_43 = 79.0
  u_44 = 74.0
  u_45 = 72.0
  u_46 = 12.0
  u_47 = 13.0
  u_48 = 15.0
  u_49 = 18.0
  u_50 = 84.0
  u_51 = 47.0
  u_52 = 76.0
  u_53 = 75.0
  u_54 = 78.0
  u_55 = 99.0
  u_56 = 98.0
  u_57 = 14.0
  u_58 = 21.0
  u_59 = 19.0
  u_60 = 85.0
  u_61 = 46.0
  u_62 = 87.0
  u_63 = 77.0
  u_64 = 100.0
  u_65 = 92.0
  u_66 = 96.0
  u_67 = 97.0
  u_68 = 22.0
  u_69 = 20.0
  u_70 = 43.0
  u_71 = 86.0
  u_72 = 45.0
  u_73 = 88.0
  u_74 = 91.0
  u_75 = 95.0
  u_76 = 93.0
  u_77 = 31.0
  u_78 = 25.0
  u_79 = 23.0
  u_80 = 42.0
  u_81 = 44.0
  u_82 = 38.0
  u_83 = 90.0
  u_84 = 89.0
  u_85 = 94.0
  u_86 = 32.0
  u_87 = 30.0
  u_88 = 26.0
  u_89 = 24.0
  u_90 = 41.0
  u_91 = 39.0
  u_92 = 37.0
  u_93 = 36.0
  u_94 = 35.0
  u_95 = 34.0
  u_96 = 33.0
  u_97 = 29.0
  u_98 = 28.0
  u_99 = 27.0
  u_100 = 40.0
  p_0 = 1.0
  p_1 = 1.0
  p_2 = 1.0
  p_3 = 1.0
  p_4 = 1.0
  p_5 = 1.0
  p_6 = 1.0
  p_7 = 1.0
  p_8 = 1.0
  p_9 = 1.0
  p_10 = 1.0
  p_11 = 1.0
  p_12 = 1.0
  p_13 = 1.0
  p_14 = 1.0
  p_15 = 1.0
  p_16 = 1.0
  p_17 = 1.0
  p_18 = 1.0
  p_19 = 1.0
  p_20 = 1.0
  p_21 = 1.0
  p_22 = 1.0
  p_23 = 1.0
  p_24 = 1.0
  p_25 = 1.0
  p_26 = 1.0
  p_27 = 1.0
  p_28 = 1.0
  p_29 = 1.0
  p_30 = 1.0
  p_31 = 1.0
  p_32 = 1.0
  p_33 = 1.0
  p_34 = 1.0
  p_35 = 1.0
  p_36 = 1.0
  p_37 = 1.0
  p_38 = 1.0
  p_39 = 1.0
  p_40 = 1.0
  p_41 = 1.0
  p_42 = 1.0
  p_43 = 1.0
  p_44 = 1.0
  p_45 = 1.0
  p_46 = 1.0
  p_47 = 1.0
  p_48 = 1.0
  p_49 = 1.0
  p_50 = 1.0
  p_51 = 1.0
  p_52 = 1.0
  p_53 = 1.0
  p_54 = 1.0
  p_55 = 1.0
  p_56 = 1.0
  p_57 = 1.0
  p_58 = 1.0
  p_59 = 1.0
  p_60 = 1.0
  p_61 = 1.0
  p_62 = 1.0
  p_63 = 1.0
  p_64 = 1.0
  p_65 = 1.0
  p_66 = 1.0
  p_67 = 1.0
  p_68 = 1.0
  p_69 = 1.0
  p_70 = 1.0
  p_71 = 1.0
  p_72 = 1.0
  p_73 = 1.0
  p_74 = 1.0
  p_75 = 1.0
  p_76 = 1.0
  p_77 = 1.0
  p_78 = 1.0
  p_79 = 1.0
  p_80 = 1.0
  p_81 = 1.0
  p_82 = 1.0
  p_83 = 1.0
  p_84 = 1.0
  p_85 = 1.0
  p_86 = 1.0
  p_87 = 1.0
  p_88 = 1.0
  p_89 = 1.0
  p_90 = 1.0
  p_91 = 1.0
  p_92 = 1.0
  p_93 = 1.0
  p_94 = 1.0
  p_95 = 1.0
  p_96 = 1.0
  p_97 = 1.0
  p_98 = 1.0
  p_99 = 1.0
  p_100 = 1.0
