Funcion objetivo: 212.0 (integer optimal solution)

Variables x_ != 0:
  x_5_0 = 1.0
  x_0_41 = 1.0
  x_8_5 = 1.0
  x_14_8 = 1.0
  x_17_14 = 1.0
  x_23_17 = 1.0
  x_26_23 = 1.0
  x_35_26 = 1.0
  x_38_35 = 1.0
  x_41_38 = 1.0

Variables y_ != 0:
  y_1_5 = 1.0
  y_2_5 = 1.0
  y_3_5 = 1.0
  y_4_8 = 1.0
  y_6_5 = 1.0
  y_7_8 = 1.0
  y_9_8 = 1.0
  y_10_14 = 1.0
  y_11_14 = 1.0
  y_12_8 = 1.0
  y_13_14 = 1.0
  y_15_14 = 1.0
  y_16_17 = 1.0
  y_18_17 = 1.0
  y_19_17 = 1.0
  y_20_17 = 1.0
  y_21_23 = 1.0
  y_22_23 = 1.0
  y_24_23 = 1.0
  y_25_26 = 1.0
  y_27_23 = 1.0
  y_28_26 = 1.0
  y_29_26 = 1.0
  y_30_26 = 1.0
  y_31_35 = 1.0
  y_32_35 = 1.0
  y_33_35 = 1.0
  y_34_35 = 1.0
  y_36_38 = 1.0
  y_37_38 = 1.0
  y_39_38 = 1.0
  y_40_41 = 1.0
  y_42_38 = 1.0
  y_43_41 = 1.0
  y_44_41 = 1.0
  y_45_41 = 1.0

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 1.0
  u_2 = 1.0
  u_3 = 1.0
  u_4 = 1.0
  u_5 = 45.0
  u_6 = 1.0
  u_7 = 1.0
  u_8 = 44.0
  u_9 = 1.0
  u_10 = 1.0
  u_11 = 1.0
  u_12 = 1.0
  u_13 = 1.0
  u_14 = 43.0
  u_15 = 1.0
  u_16 = 1.0
  u_17 = 6.0
  u_18 = 1.0
  u_19 = 1.0
  u_20 = 1.0
  u_21 = 1.0
  u_22 = 1.0
  u_23 = 5.0
  u_24 = 1.0
  u_25 = 1.0
  u_26 = 4.0
  u_27 = 1.0
  u_28 = 1.0
  u_29 = 1.0
  u_30 = 1.0
  u_31 = 1.0
  u_32 = 1.0
  u_33 = 1.0
  u_34 = 1.0
  u_35 = 3.0
  u_36 = 1.0
  u_37 = 1.0
  u_38 = 2.0
  u_39 = 1.0
  u_40 = 1.0
  u_41 = 1.0
  u_42 = 1.0
  u_43 = 1.0
  u_44 = 1.0
  u_45 = 1.0
  p_0 = 1.0
  p_1 = 0.0
  p_2 = 0.0
  p_3 = 0.0
  p_4 = -0.0
  p_5 = 1.0
  p_6 = -0.0
  p_7 = -0.0
  p_8 = 1.0
  p_9 = -0.0
  p_10 = -0.0
  p_11 = -0.0
  p_12 = -0.0
  p_13 = 0.0
  p_14 = 1.0
  p_15 = 0.0
  p_16 = 0.0
  p_17 = 1.0
  p_18 = 0.0
  p_19 = -0.0
  p_20 = 0.0
  p_21 = -0.0
  p_22 = -0.0
  p_23 = 1.0
  p_24 = -0.0
  p_25 = -0.0
  p_26 = 1.0
  p_27 = -0.0
  p_28 = 0.0
  p_29 = 0.0
  p_30 = 0.0
  p_31 = 0.0
  p_32 = 0.0
  p_33 = 0.0
  p_34 = -0.0
  p_35 = 1.0
  p_36 = -0.0
  p_37 = -0.0
  p_38 = 1.0
  p_39 = -0.0
  p_40 = -0.0
  p_41 = 1.0
  p_42 = -0.0
  p_43 = 0.0
  p_44 = 0.0
  p_45 = 0.0
