Funcion objetivo: 78.0 (aborted)

Variables x_ != 0:
  x_0_1 = 1.0
  x_45_0 = 1.0
  x_1_5 = 1.0
  x_2_6 = 1.0
  x_15_2 = 1.0
  x_3_4 = 1.0
  x_6_3 = 1.0
  x_4_7 = 1.0
  x_5_8 = 1.0
  x_7_10 = 1.0
  x_8_9 = 1.0
  x_9_14 = 1.0
  x_10_11 = 1.0
  x_11_13 = 1.0
  x_14_12 = 1.0
  x_12_15 = 1.0
  x_13_16 = 1.0
  x_16_20 = 1.0
  x_17_18 = 1.0
  x_20_17 = 1.0
  x_18_21 = 1.0
  x_21_19 = 1.0
  x_19_22 = 1.0
  x_22_23 = 1.0
  x_23_27 = 1.0
  x_24_26 = 1.0
  x_27_24 = 1.0
  x_25_28 = 1.0
  x_29_25 = 1.0
  x_26_30 = 1.0
  x_28_44 = 1.0
  x_30_29 = 1.0
  x_31_33 = 1.0
  x_35_31 = 1.0
  x_33_32 = 1.0
  x_32_41 = 1.0
  x_37_34 = 1.0
  x_34_38 = 1.0
  x_42_35 = 1.0
  x_38_36 = 1.0
  x_36_39 = 1.0
  x_40_37 = 1.0
  x_39_42 = 1.0
  x_43_40 = 1.0
  x_41_45 = 1.0
  x_44_43 = 1.0

Variables y_ != 0:

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 1.0
  u_2 = 8.0
  u_3 = 10.0
  u_4 = 11.0
  u_5 = 2.0
  u_6 = 9.0
  u_7 = 12.0
  u_8 = 3.0
  u_9 = 4.0
  u_10 = 13.0
  u_11 = 14.0
  u_12 = 6.0
  u_13 = 15.0
  u_14 = 5.0
  u_15 = 7.0
  u_16 = 16.0
  u_17 = 18.0
  u_18 = 19.0
  u_19 = 21.0
  u_20 = 17.0
  u_21 = 20.0
  u_22 = 22.0
  u_23 = 23.0
  u_24 = 25.0
  u_25 = 29.0
  u_26 = 26.0
  u_27 = 24.0
  u_28 = 30.0
  u_29 = 28.0
  u_30 = 27.0
  u_31 = 41.0
  u_32 = 43.0
  u_33 = 42.0
  u_34 = 35.0
  u_35 = 40.0
  u_36 = 37.0
  u_37 = 34.0
  u_38 = 36.0
  u_39 = 38.0
  u_40 = 33.0
  u_41 = 44.0
  u_42 = 39.0
  u_43 = 32.0
  u_44 = 31.0
  u_45 = 45.0
  p_0 = 1.0
  p_1 = 1.0
  p_2 = 1.0
  p_3 = 1.0
  p_4 = 1.0
  p_5 = 1.0
  p_6 = 1.0
  p_7 = 1.0
  p_8 = 1.0
  p_9 = 1.0
  p_10 = 1.0
  p_11 = 1.0
  p_12 = 1.0
  p_13 = 1.0
  p_14 = 1.0
  p_15 = 1.0
  p_16 = 1.0
  p_17 = 1.0
  p_18 = 1.0
  p_19 = 1.0
  p_20 = 1.0
  p_21 = 1.0
  p_22 = 1.0
  p_23 = 1.0
  p_24 = 1.0
  p_25 = 1.0
  p_26 = 1.0
  p_27 = 1.0
  p_28 = 1.0
  p_29 = 1.0
  p_30 = 1.0
  p_31 = 1.0
  p_32 = 1.0
  p_33 = 1.0
  p_34 = 1.0
  p_35 = 1.0
  p_36 = 1.0
  p_37 = 1.0
  p_38 = 1.0
  p_39 = 1.0
  p_40 = 1.0
  p_41 = 1.0
  p_42 = 1.0
  p_43 = 1.0
  p_44 = 1.0
  p_45 = 1.0
