Funcion objetivo: 14425.0 (integer optimal solution)

Variables x_ != 0:
  x_0_50 = 1.0
  x_91_0 = 1.0
  x_70_4 = 1.0
  x_4_77 = 1.0
  x_11_91 = 1.0
  x_98_11 = 1.0
  x_56_18 = 1.0
  x_18_98 = 1.0
  x_37_25 = 1.0
  x_25_70 = 1.0
  x_31_37 = 1.0
  x_63_31 = 1.0
  x_50_44 = 1.0
  x_44_63 = 1.0
  x_84_56 = 1.0
  x_77_84 = 1.0

Variables y_ != 0:
  y_1_4 = 1.0
  y_2_4 = 1.0
  y_3_4 = 1.0
  y_5_4 = 1.0
  y_6_4 = 1.0
  y_7_4 = 1.0
  y_8_11 = 1.0
  y_9_11 = 1.0
  y_10_11 = 1.0
  y_12_11 = 1.0
  y_13_11 = 1.0
  y_14_11 = 1.0
  y_15_18 = 1.0
  y_16_18 = 1.0
  y_17_18 = 1.0
  y_19_18 = 1.0
  y_20_18 = 1.0
  y_21_18 = 1.0
  y_22_25 = 1.0
  y_23_25 = 1.0
  y_24_25 = 1.0
  y_26_25 = 1.0
  y_27_25 = 1.0
  y_28_25 = 1.0
  y_29_31 = 1.0
  y_30_31 = 1.0
  y_32_31 = 1.0
  y_33_31 = 1.0
  y_34_31 = 1.0
  y_35_37 = 1.0
  y_36_37 = 1.0
  y_38_37 = 1.0
  y_39_37 = 1.0
  y_40_37 = 1.0
  y_41_44 = 1.0
  y_42_44 = 1.0
  y_43_44 = 1.0
  y_45_44 = 1.0
  y_46_44 = 1.0
  y_47_44 = 1.0
  y_48_50 = 1.0
  y_49_50 = 1.0
  y_51_50 = 1.0
  y_52_50 = 1.0
  y_53_56 = 1.0
  y_54_56 = 1.0
  y_55_56 = 1.0
  y_57_56 = 1.0
  y_58_56 = 1.0
  y_59_56 = 1.0
  y_60_63 = 1.0
  y_61_63 = 1.0
  y_62_63 = 1.0
  y_64_63 = 1.0
  y_65_63 = 1.0
  y_66_63 = 1.0
  y_67_70 = 1.0
  y_68_70 = 1.0
  y_69_70 = 1.0
  y_71_70 = 1.0
  y_72_70 = 1.0
  y_73_70 = 1.0
  y_74_77 = 1.0
  y_75_77 = 1.0
  y_76_77 = 1.0
  y_78_77 = 1.0
  y_79_77 = 1.0
  y_80_77 = 1.0
  y_81_84 = 1.0
  y_82_84 = 1.0
  y_83_84 = 1.0
  y_85_84 = 1.0
  y_86_84 = 1.0
  y_87_84 = 1.0
  y_88_91 = 1.0
  y_89_91 = 1.0
  y_90_91 = 1.0
  y_92_91 = 1.0
  y_93_91 = 1.0
  y_94_91 = 1.0
  y_95_98 = 1.0
  y_96_98 = 1.0
  y_97_98 = 1.0
  y_99_98 = 1.0
  y_100_98 = 1.0

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 1.0
  u_2 = 1.0
  u_3 = 1.0
  u_4 = 8.0
  u_5 = 1.0
  u_6 = 1.0
  u_7 = 1.0
  u_8 = 1.0
  u_9 = 1.0
  u_10 = 1.0
  u_11 = 14.0
  u_12 = 1.0
  u_13 = 1.0
  u_14 = 1.0
  u_15 = 1.0
  u_16 = 1.0
  u_17 = 1.0
  u_18 = 12.0
  u_19 = 1.0
  u_20 = 1.0
  u_21 = 1.0
  u_22 = 1.0
  u_23 = 1.0
  u_24 = 1.0
  u_25 = 6.0
  u_26 = 1.0
  u_27 = 1.0
  u_28 = 1.0
  u_29 = 1.0
  u_30 = 1.0
  u_31 = 4.0
  u_32 = 1.0
  u_33 = 1.0
  u_34 = 1.0
  u_35 = 1.0
  u_36 = 1.0
  u_37 = 5.0
  u_38 = 1.0
  u_39 = 1.0
  u_40 = 1.0
  u_41 = 1.0
  u_42 = 1.0
  u_43 = 1.0
  u_44 = 2.0
  u_45 = 1.0
  u_46 = 1.0
  u_47 = 1.0
  u_48 = 1.0
  u_49 = 1.0
  u_50 = 1.0
  u_51 = 1.0
  u_52 = 1.0
  u_53 = 1.0
  u_54 = 1.0
  u_55 = 1.0
  u_56 = 11.0
  u_57 = 1.0
  u_58 = 1.0
  u_59 = 1.0
  u_60 = 1.0
  u_61 = 1.0
  u_62 = 1.0
  u_63 = 3.0
  u_64 = 1.0
  u_65 = 1.0
  u_66 = 1.0
  u_67 = 1.0
  u_68 = 1.0
  u_69 = 1.0
  u_70 = 7.0
  u_71 = 1.0
  u_72 = 1.0
  u_73 = 1.0
  u_74 = 1.0
  u_75 = 1.0
  u_76 = 1.0
  u_77 = 9.0
  u_78 = 1.0
  u_79 = 1.0
  u_80 = 1.0
  u_81 = 1.0
  u_82 = 1.0
  u_83 = 1.0
  u_84 = 10.0
  u_85 = 1.0
  u_86 = 1.0
  u_87 = 1.0
  u_88 = 1.0
  u_89 = 1.0
  u_90 = 1.0
  u_91 = 15.0
  u_92 = 1.0
  u_93 = 1.0
  u_94 = 1.0
  u_95 = 1.0
  u_96 = 1.0
  u_97 = 1.0
  u_98 = 13.0
  u_99 = 1.0
  u_100 = 1.0
  p_0 = 1.0
  p_1 = 0.0
  p_2 = 0.0
  p_3 = 0.0
  p_4 = 1.0
  p_5 = 0.0
  p_6 = 0.0
  p_7 = 0.0
  p_8 = 0.0
  p_9 = 0.0
  p_10 = 0.0
  p_11 = 1.0
  p_12 = 0.0
  p_13 = 0.0
  p_14 = 0.0
  p_15 = 0.0
  p_16 = 0.0
  p_17 = 0.0
  p_18 = 1.0
  p_19 = 0.0
  p_20 = 0.0
  p_21 = 0.0
  p_22 = 0.0
  p_23 = 0.0
  p_24 = 0.0
  p_25 = 1.0
  p_26 = 0.0
  p_27 = 0.0
  p_28 = 0.0
  p_29 = 0.0
  p_30 = 0.0
  p_31 = 1.0
  p_32 = 0.0
  p_33 = 0.0
  p_34 = 0.0
  p_35 = 0.0
  p_36 = 0.0
  p_37 = 1.0
  p_38 = 0.0
  p_39 = 0.0
  p_40 = 0.0
  p_41 = 0.0
  p_42 = 0.0
  p_43 = 0.0
  p_44 = 1.0
  p_45 = 0.0
  p_46 = 0.0
  p_47 = 0.0
  p_48 = 0.0
  p_49 = 0.0
  p_50 = 1.0
  p_51 = 0.0
  p_52 = 0.0
  p_53 = 0.0
  p_54 = 0.0
  p_55 = 0.0
  p_56 = 1.0
  p_57 = 0.0
  p_58 = 0.0
  p_59 = 0.0
  p_60 = 0.0
  p_61 = 0.0
  p_62 = 0.0
  p_63 = 1.0
  p_64 = 0.0
  p_65 = 0.0
  p_66 = 0.0
  p_67 = 0.0
  p_68 = 0.0
  p_69 = 0.0
  p_70 = 1.0
  p_71 = 0.0
  p_72 = 0.0
  p_73 = 0.0
  p_74 = 0.0
  p_75 = 0.0
  p_76 = 0.0
  p_77 = 1.0
  p_78 = 0.0
  p_79 = 0.0
  p_80 = 0.0
  p_81 = 0.0
  p_82 = 0.0
  p_83 = 0.0
  p_84 = 1.0
  p_85 = 0.0
  p_86 = 0.0
  p_87 = 0.0
  p_88 = 0.0
  p_89 = 0.0
  p_90 = 0.0
  p_91 = 1.0
  p_92 = 0.0
  p_93 = 0.0
  p_94 = 0.0
  p_95 = 0.0
  p_96 = 0.0
  p_97 = 0.0
  p_98 = 1.0
  p_99 = 0.0
  p_100 = 0.0
