Funcion objetivo: 97003.0 (integer optimal solution)

Variables x_ != 0:
  x_0_55 = 1.0
  x_60_0 = 1.0
  x_1_2 = 1.0
  x_3_1 = 1.0
  x_2_22 = 1.0
  x_12_3 = 1.0
  x_4_29 = 1.0
  x_93_4 = 1.0
  x_55_5 = 1.0
  x_5_91 = 1.0
  x_71_6 = 1.0
  x_6_100 = 1.0
  x_7_19 = 1.0
  x_87_7 = 1.0
  x_14_8 = 1.0
  x_8_62 = 1.0
  x_9_69 = 1.0
  x_100_9 = 1.0
  x_17_10 = 1.0
  x_10_33 = 1.0
  x_11_13 = 1.0
  x_86_11 = 1.0
  x_13_12 = 1.0
  x_61_14 = 1.0
  x_15_53 = 1.0
  x_92_15 = 1.0
  x_16_58 = 1.0
  x_63_16 = 1.0
  x_95_17 = 1.0
  x_18_44 = 1.0
  x_89_18 = 1.0
  x_19_85 = 1.0
  x_20_31 = 1.0
  x_96_20 = 1.0
  x_21_60 = 1.0
  x_81_21 = 1.0
  x_22_67 = 1.0
  x_65_23 = 1.0
  x_23_92 = 1.0
  x_24_50 = 1.0
  x_99_24 = 1.0
  x_25_47 = 1.0
  x_76_25 = 1.0
  x_50_26 = 1.0
  x_26_70 = 1.0
  x_27_54 = 1.0
  x_67_27 = 1.0
  x_28_49 = 1.0
  x_82_28 = 1.0
  x_29_64 = 1.0
  x_30_72 = 1.0
  x_78_30 = 1.0
  x_31_34 = 1.0
  x_44_32 = 1.0
  x_32_56 = 1.0
  x_33_98 = 1.0
  x_34_95 = 1.0
  x_35_45 = 1.0
  x_53_35 = 1.0
  x_36_39 = 1.0
  x_69_36 = 1.0
  x_37_97 = 1.0
  x_98_37 = 1.0
  x_85_38 = 1.0
  x_38_94 = 1.0
  x_39_88 = 1.0
  x_97_40 = 1.0
  x_40_99 = 1.0
  x_58_41 = 1.0
  x_41_87 = 1.0
  x_74_42 = 1.0
  x_42_76 = 1.0
  x_43_48 = 1.0
  x_91_43 = 1.0
  x_45_78 = 1.0
  x_79_46 = 1.0
  x_46_81 = 1.0
  x_47_57 = 1.0
  x_48_68 = 1.0
  x_49_86 = 1.0
  x_68_51 = 1.0
  x_51_77 = 1.0
  x_70_52 = 1.0
  x_52_90 = 1.0
  x_54_66 = 1.0
  x_56_73 = 1.0
  x_57_93 = 1.0
  x_75_59 = 1.0
  x_59_80 = 1.0
  x_88_61 = 1.0
  x_62_63 = 1.0
  x_64_79 = 1.0
  x_90_65 = 1.0
  x_66_71 = 1.0
  x_72_82 = 1.0
  x_73_83 = 1.0
  x_84_74 = 1.0
  x_77_75 = 1.0
  x_80_89 = 1.0
  x_83_96 = 1.0
  x_94_84 = 1.0

Variables y_ != 0:

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 56.0
  u_2 = 57.0
  u_3 = 55.0
  u_4 = 93.0
  u_5 = 2.0
  u_6 = 64.0
  u_7 = 80.0
  u_8 = 73.0
  u_9 = 66.0
  u_10 = 25.0
  u_11 = 52.0
  u_12 = 54.0
  u_13 = 53.0
  u_14 = 72.0
  u_15 = 41.0
  u_16 = 76.0
  u_17 = 24.0
  u_18 = 13.0
  u_19 = 81.0
  u_20 = 20.0
  u_21 = 99.0
  u_22 = 58.0
  u_23 = 39.0
  u_24 = 32.0
  u_25 = 89.0
  u_26 = 34.0
  u_27 = 60.0
  u_28 = 49.0
  u_29 = 94.0
  u_30 = 46.0
  u_31 = 21.0
  u_32 = 15.0
  u_33 = 26.0
  u_34 = 22.0
  u_35 = 43.0
  u_36 = 68.0
  u_37 = 28.0
  u_38 = 83.0
  u_39 = 69.0
  u_40 = 30.0
  u_41 = 78.0
  u_42 = 87.0
  u_43 = 4.0
  u_44 = 14.0
  u_45 = 44.0
  u_46 = 97.0
  u_47 = 90.0
  u_48 = 5.0
  u_49 = 50.0
  u_50 = 33.0
  u_51 = 7.0
  u_52 = 36.0
  u_53 = 42.0
  u_54 = 61.0
  u_55 = 1.0
  u_56 = 16.0
  u_57 = 91.0
  u_58 = 77.0
  u_59 = 10.0
  u_60 = 100.0
  u_61 = 71.0
  u_62 = 74.0
  u_63 = 75.0
  u_64 = 95.0
  u_65 = 38.0
  u_66 = 62.0
  u_67 = 59.0
  u_68 = 6.0
  u_69 = 67.0
  u_70 = 35.0
  u_71 = 63.0
  u_72 = 47.0
  u_73 = 17.0
  u_74 = 86.0
  u_75 = 9.0
  u_76 = 88.0
  u_77 = 8.0
  u_78 = 45.0
  u_79 = 96.0
  u_80 = 11.0
  u_81 = 98.0
  u_82 = 48.0
  u_83 = 18.0
  u_84 = 85.0
  u_85 = 82.0
  u_86 = 51.0
  u_87 = 79.0
  u_88 = 70.0
  u_89 = 12.0
  u_90 = 37.0
  u_91 = 3.0
  u_92 = 40.0
  u_93 = 92.0
  u_94 = 84.0
  u_95 = 23.0
  u_96 = 19.0
  u_97 = 29.0
  u_98 = 27.0
  u_99 = 31.0
  u_100 = 65.0
