Funcion objetivo: 930.0 (time limit exceeded)

Variables x_ != 0:
  x_0_22 = 1.0
  x_100_0 = 1.0
  x_8_10 = 1.0
  x_22_8 = 1.0
  x_10_19 = 1.0
  x_19_12 = 1.0
  x_12_36 = 1.0
  x_36_30 = 1.0
  x_30_53 = 1.0
  x_40_39 = 1.0
  x_39_61 = 1.0
  x_53_40 = 1.0
  x_61_57 = 1.0
  x_57_65 = 1.0
  x_65_64 = 1.0
  x_64_91 = 1.0
  x_89_82 = 1.0
  x_82_100 = 1.0
  x_85_87 = 1.0
  x_91_85 = 1.0
  x_87_89 = 1.0

Variables y_ != 0:
  y_1_8 = 1.0
  y_2_8 = 1.0
  y_3_10 = 1.0
  y_4_10 = 1.0
  y_5_12 = 1.0
  y_6_12 = 1.0
  y_7_8 = 1.0
  y_9_8 = 1.0
  y_11_12 = 1.0
  y_13_12 = 1.0
  y_14_22 = 1.0
  y_15_22 = 1.0
  y_16_10 = 1.0
  y_17_10 = 1.0
  y_18_19 = 1.0
  y_20_12 = 1.0
  y_21_22 = 1.0
  y_23_30 = 1.0
  y_24_30 = 1.0
  y_25_19 = 1.0
  y_26_19 = 1.0
  y_27_19 = 1.0
  y_28_22 = 1.0
  y_29_30 = 1.0
  y_31_39 = 1.0
  y_32_39 = 1.0
  y_33_39 = 1.0
  y_34_40 = 1.0
  y_35_36 = 1.0
  y_37_30 = 1.0
  y_38_30 = 1.0
  y_41_40 = 1.0
  y_42_36 = 1.0
  y_43_36 = 1.0
  y_44_36 = 1.0
  y_45_53 = 1.0
  y_46_40 = 1.0
  y_47_39 = 1.0
  y_48_40 = 1.0
  y_49_57 = 1.0
  y_50_57 = 1.0
  y_51_57 = 1.0
  y_52_53 = 1.0
  y_54_53 = 1.0
  y_55_61 = 1.0
  y_56_64 = 1.0
  y_58_65 = 1.0
  y_59_65 = 1.0
  y_60_53 = 1.0
  y_62_61 = 1.0
  y_63_57 = 1.0
  y_66_65 = 1.0
  y_67_61 = 1.0
  y_68_61 = 1.0
  y_69_61 = 1.0
  y_70_64 = 1.0
  y_71_64 = 1.0
  y_72_64 = 1.0
  y_73_65 = 1.0
  y_74_82 = 1.0
  y_75_82 = 1.0
  y_76_82 = 1.0
  y_77_85 = 1.0
  y_78_85 = 1.0
  y_79_85 = 1.0
  y_80_87 = 1.0
  y_81_82 = 1.0
  y_83_89 = 1.0
  y_84_91 = 1.0
  y_86_85 = 1.0
  y_88_89 = 1.0
  y_90_89 = 1.0
  y_92_91 = 1.0
  y_93_87 = 1.0
  y_94_87 = 1.0
  y_95_87 = 1.0
  y_96_89 = 1.0
  y_97_89 = 1.0
  y_98_91 = 1.0
  y_99_91 = 1.0

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 1.0
  u_2 = 1.0
  u_3 = 1.0000000000000009
  u_4 = 1.0
  u_5 = 1.0
  u_6 = 1.0
  u_7 = 1.0
  u_8 = 3.0
  u_9 = 1.0
  u_10 = 4.0
  u_11 = 1.0
  u_12 = 6.0
  u_13 = 1.0
  u_14 = 1.0
  u_15 = 1.0000000000000009
  u_16 = 1.0
  u_17 = 1.0
  u_18 = 1.0
  u_19 = 5.0
  u_20 = 1.0
  u_21 = 1.0
  u_22 = 1.0
  u_23 = 1.0
  u_24 = 1.0
  u_25 = 1.0
  u_26 = 1.0
  u_27 = 1.0
  u_28 = 1.0
  u_29 = 1.0
  u_30 = 8.0
  u_31 = 1.0000000000000009
  u_32 = 1.0
  u_33 = 1.0
  u_34 = 1.0
  u_35 = 1.0
  u_36 = 7.0
  u_37 = 1.0
  u_38 = 1.0
  u_39 = 11.0
  u_40 = 10.0
  u_41 = 1.0000000000000009
  u_42 = 1.0000000000000009
  u_43 = 1.0
  u_44 = 1.0
  u_45 = 1.0
  u_46 = 1.0
  u_47 = 1.0
  u_48 = 1.0
  u_49 = 1.0
  u_50 = 1.0
  u_51 = 1.0
  u_52 = 1.0
  u_53 = 9.0
  u_54 = 0.9999999999999999
  u_55 = 1.0000000000000009
  u_56 = 1.0
  u_57 = 13.0
  u_58 = 1.0000000000000009
  u_59 = 1.0
  u_60 = 1.0
  u_61 = 12.0
  u_62 = 1.0
  u_63 = 1.0
  u_64 = 15.0
  u_65 = 14.0
  u_66 = 1.0
  u_67 = 1.0
  u_68 = 1.0
  u_69 = 1.0
  u_70 = 1.0000000000000009
  u_71 = 1.0
  u_72 = 1.0
  u_73 = 1.0
  u_74 = 1.0
  u_75 = 1.0
  u_76 = 1.0
  u_77 = 1.0
  u_78 = 1.0
  u_79 = 1.0
  u_80 = 1.0
  u_81 = 1.0
  u_82 = 20.0
  u_83 = 1.0
  u_84 = 1.0
  u_85 = 17.0
  u_86 = 1.0
  u_87 = 18.0
  u_88 = 1.0
  u_89 = 19.0
  u_90 = 1.0
  u_91 = 16.0
  u_92 = 1.0
  u_93 = 1.0
  u_94 = 1.0
  u_95 = 1.0
  u_96 = 1.0
  u_97 = 1.0
  u_98 = 1.0
  u_99 = 1.0
  u_100 = 100.0
  p_0 = 1.0
  p_1 = 0.0
  p_2 = 0.0
