Funcion objetivo: 785.0 (time limit exceeded)

Variables x_ != 0:
  x_41_0 = 1.0
  x_0_100 = 1.0
  x_4_5 = 1.0
  x_10_4 = 1.0
  x_5_13 = 1.0
  x_9_10 = 1.0
  x_15_9 = 1.0
  x_13_20 = 1.0
  x_16_15 = 1.0
  x_23_16 = 1.0
  x_20_27 = 1.0
  x_29_23 = 1.0
  x_27_33 = 1.0
  x_37_29 = 1.0
  x_33_41 = 1.0
  x_43_37 = 1.0
  x_39_46 = 1.0
  x_100_39 = 1.0
  x_51_43 = 1.0
  x_46_54 = 1.0
  x_57_51 = 1.0
  x_54_61 = 1.0
  x_64_57 = 1.0
  x_61_67 = 1.0
  x_72_64 = 1.0
  x_67_75 = 1.0
  x_78_72 = 1.0
  x_75_82 = 1.0
  x_85_78 = 1.0
  x_81_87 = 1.0
  x_89_81 = 1.0
  x_82_89 = 1.0
  x_92_85 = 1.0
  x_87_86 = 1.0
  x_86_92 = 1.0

Variables y_ != 0:
  y_1_9 = 1.0
  y_2_9 = 1.0
  y_3_10 = 1.0
  y_6_13 = 1.0
  y_7_15 = 1.0
  y_8_15 = 1.0
  y_11_10 = 1.0
  y_12_13 = 1.0
  y_14_15 = 1.0
  y_17_10 = 1.0
  y_18_10 = 1.0
  y_19_20 = 1.0
  y_21_15 = 1.0
  y_22_16 = 1.0
  y_24_16 = 1.0
  y_25_33 = 1.0
  y_26_33 = 1.0
  y_28_29 = 1.0
  y_30_37 = 1.0
  y_31_37 = 1.0
  y_32_33 = 1.0
  y_34_33 = 1.0
  y_35_43 = 1.0
  y_36_43 = 1.0
  y_38_37 = 1.0
  y_40_33 = 1.0
  y_42_43 = 1.0
  y_44_43 = 1.0
  y_45_37 = 1.0
  y_47_46 = 1.0
  y_48_54 = 1.0
  y_49_43 = 1.0
  y_50_43 = 1.0
  y_52_46 = 1.0
  y_53_46 = 1.0
  y_55_61 = 1.0
  y_56_57 = 1.0
  y_58_64 = 1.0
  y_59_67 = 1.0
