Funcion objetivo: 1108.0 (time limit exceeded)

Variables x_ != 0:
  x_0_90 = 1.0
  x_100_0 = 1.0
  x_2_1 = 1.0
  x_1_7 = 1.0
  x_10_2 = 1.0
  x_3_4 = 1.0
  x_9_3 = 1.0
  x_4_5 = 1.0
  x_5_6 = 1.0
  x_6_13 = 1.0
  x_7_14 = 1.0
  x_8_15 = 1.0
  x_16_8 = 1.0
  x_15_9 = 1.0
  x_17_10 = 1.0
  x_12_11 = 1.0
  x_11_17 = 1.0
  x_20_12 = 1.0
  x_13_19 = 1.0
  x_14_21 = 1.0
  x_22_16 = 1.0
  x_25_18 = 1.0
  x_18_26 = 1.0
  x_19_27 = 1.0
  x_26_20 = 1.0
  x_21_28 = 1.0
  x_29_22 = 1.0
  x_23_24 = 1.0
  x_31_23 = 1.0
  x_24_25 = 1.0
  x_27_34 = 1.0
  x_28_35 = 1.0
  x_30_29 = 1.0
  x_36_30 = 1.0
  x_39_31 = 1.0
  x_32_33 = 1.0
  x_38_32 = 1.0
  x_33_41 = 1.0
  x_34_40 = 1.0
  x_35_42 = 1.0
  x_42_36 = 1.0
  x_43_37 = 1.0
  x_37_45 = 1.0
  x_44_38 = 1.0
  x_45_39 = 1.0
  x_40_46 = 1.0
  x_41_48 = 1.0
  x_51_43 = 1.0
  x_50_44 = 1.0
  x_46_47 = 1.0
  x_47_53 = 1.0
  x_48_55 = 1.0
  x_49_50 = 1.0
  x_57_49 = 1.0
  x_59_51 = 1.0
  x_52_58 = 1.0
  x_60_52 = 1.0
  x_53_54 = 1.0
  x_54_60 = 1.0
  x_55_62 = 1.0
  x_63_56 = 1.0
  x_56_64 = 1.0
  x_65_57 = 1.0
  x_58_65 = 1.0
  x_66_59 = 1.0
  x_61_67 = 1.0
  x_69_61 = 1.0
  x_62_68 = 1.0
  x_71_63 = 1.0
  x_64_70 = 1.0
  x_72_66 = 1.0
  x_67_73 = 1.0
  x_68_76 = 1.0
  x_75_69 = 1.0
  x_70_77 = 1.0
  x_79_71 = 1.0
  x_80_72 = 1.0
  x_73_79 = 1.0
  x_74_75 = 1.0
  x_81_74 = 1.0
  x_76_83 = 1.0
  x_77_78 = 1.0
  x_78_85 = 1.0
  x_87_80 = 1.0
  x_82_81 = 1.0
  x_83_82 = 1.0
  x_85_84 = 1.0
  x_84_91 = 1.0
  x_93_86 = 1.0
  x_86_94 = 1.0
  x_95_87 = 1.0
  x_94_88 = 1.0
  x_88_96 = 1.0
  x_90_89 = 1.0
  x_89_95 = 1.0
  x_91_98 = 1.0
  x_98_92 = 1.0
  x_92_99 = 1.0
  x_99_93 = 1.0
  x_96_97 = 1.0
  x_97_100 = 1.0

Variables y_ != 0:

Otras variables (u_, p_):
  u_0 = 0.0
  u_1 = 26.0
  u_2 = 25.0
  u_3 = 41.0
  u_4 = 42.0
  u_5 = 43.0
  u_6 = 44.0
  u_7 = 27.0
  u_8 = 38.0
  u_9 = 40.0
  u_10 = 24.0
  u_11 = 22.0
  u_12 = 21.0
  u_13 = 45.0
  u_14 = 28.0
  u_15 = 39.0
  u_16 = 37.0
  u_17 = 23.0
  u_18 = 18.0
  u_19 = 46.0
  u_20 = 20.0
  u_21 = 29.0
  u_22 = 36.0
  u_23 = 15.0
  u_24 = 16.0
  u_25 = 17.0
  u_26 = 19.0
  u_27 = 47.0
  u_28 = 30.0
  u_29 = 35.0
  u_30 = 34.0
  u_31 = 14.0
  u_32 = 63.0
  u_33 = 64.0
  u_34 = 48.0
  u_35 = 31.0
  u_36 = 33.0
  u_37 = 11.0
  u_38 = 62.0
  u_39 = 13.0
  u_40 = 49.0
  u_41 = 65.0
  u_42 = 32.0
  u_43 = 10.0
  u_44 = 61.0
  u_45 = 12.0
  u_46 = 50.0
  u_47 = 51.0
  u_48 = 66.0
  u_49 = 59.0
  u_50 = 60.0
  u_51 = 9.0
  u_52 = 55.0
  u_53 = 52.0
  u_54 = 53.0
  u_55 = 67.0
  u_56 = 83.0
  u_57 = 58.0
  u_58 = 56.0
  u_59 = 8.0
  u_60 = 54.0
  u_61 = 77.0
  u_62 = 68.0
  u_63 = 82.0
  u_64 = 84.0
  u_65 = 57.0
  u_66 = 7.0
  u_67 = 78.0
  u_68 = 69.0
  u_69 = 76.0
  u_70 = 85.0
  u_71 = 81.0
  u_72 = 6.0
  u_73 = 79.0
  u_74 = 74.0
  u_75 = 75.0
  u_76 = 70.0
  u_77 = 86.0
  u_78 = 87.0
  u_79 = 80.0
  u_80 = 5.0
  u_81 = 73.0
  u_82 = 72.0
  u_83 = 71.0
  u_84 = 89.0
  u_85 = 88.0
  u_86 = 95.0
  u_87 = 4.0
  u_88 = 97.0
  u_89 = 2.0
  u_90 = 1.0
  u_91 = 90.0
  u_92 = 92.0
  u_93 = 94.0
  u_94 = 96.0
  u_95 = 3.0
  u_96 = 98.0
  u_97 = 99.0
  u_98 = 91.0
  u_99 = 93.0
  u_100 = 100.0
